Frequency;Raw_data
757.415283;-100.289733
762.711914;-99.092288
768.008484;-101.585284
773.305115;-102.745611
778.601746;-100.678565
783.898315;-99.352721
789.194946;-97.453175
794.491577;-97.854542
799.788147;-96.040202
805.084778;-98.491263
810.381409;-98.288291
815.677979;-100.245427
820.974609;-101.152156
826.27124;-102.05643
831.56781;-101.211439
836.864441;-101.740715
842.161072;-102.660195
847.457642;-101.586893
852.754272;-101.803823
858.050903;-100.379918
863.347473;-102.859712
868.644104;-103.437822
873.940735;-103.125526
879.237305;-100.785453
884.533936;-100.20733
889.830566;-101.633176
895.127136;-101.595904
900.423767;-100.322474
905.720398;-98.137103
911.016968;-100.59173
916.313599;-101.714919
921.610229;-103.359594
926.906799;-103.668143
932.20343;-102.53416
937.500061;-100.886775
942.796631;-104.72213
948.093262;-103.184009
953.389893;-103.399111
958.686462;-103.697533
963.983093;-103.834213
969.279724;-103.937309
974.576294;-103.962963
979.872925;-103.921505
985.169556;-103.858471
990.466125;-103.817935
995.762756;-103.815872
1000;-103.627298
1010.742188;-103.438724
1025.390625;-103.501163
1040.039063;-105.05054
1054.6875;-104.942748
1069.335938;-104.169351
1083.984375;-99.956892
1098.632813;-104.612528
1113.28125;-100.719127
1127.929688;-102.654036
1142.578125;-106.467119
1157.226563;-105.029334
1171.875;-101.120601
1186.523438;-104.220741
1201.171875;-106.075158
1215.820313;-107.131715
1230.46875;-102.271026
1245.117188;-106.483795
1259.765625;-107.162818
1274.414063;-103.267682
1289.0625;-107.168823
1303.710938;-107.281427
1318.359375;-107.28974
1333.007813;-105.191791
1347.65625;-103.654782
1362.304688;-104.425361
1376.953125;-106.932757
1391.601563;-107.748171
1406.25;-107.396974
1420.898438;-102.908683
1435.546875;-107.910861
1450.195313;-108.372375
1464.84375;-104.862572
1479.492188;-104.928432
1494.140625;-109.085566
1508.789063;-109.034576
1523.4375;-106.498481
1538.085938;-108.602465
1552.734375;-108.580548
1567.382813;-108.496832
1582.03125;-109.86755
1596.679688;-109.845186
1611.328125;-109.44626
1625.976563;-106.855488
1640.625;-109.051289
1655.273438;-108.597315
1669.921875;-107.175463
1684.570313;-109.115826
1699.21875;-109.77751
1713.867188;-109.479256
1728.515625;-108.089614
1743.164063;-107.394011
1757.8125;-107.53218
1772.460938;-108.602813
1787.109375;-107.1694
1801.757813;-109.890119
1816.40625;-110.111318
1831.054688;-109.895956
1845.703125;-110.447003
1860.351563;-109.839179
1875;-108.924544
1889.648438;-108.335619
1904.296875;-108.121224
1918.945313;-108.538309
1933.59375;-108.372029
1948.242188;-107.557304
1962.890625;-108.193218
1977.539063;-109.639288
1992.1875;-109.01698
2006.835938;-108.517981
2021.484375;-106.88329
2036.132813;-103.553304
2050.78125;-103.568616
2065.429688;-107.201486
2080.078125;-109.703368
2094.726563;-109.538174
2109.375;-109.531498
2124.023438;-109.251319
2138.671875;-107.362106
2153.320313;-106.815213
2167.96875;-108.672105
2182.617188;-109.594071
2197.265625;-109.020226
2211.914063;-109.779325
2226.5625;-110.274787
2241.210938;-109.282524
2255.859375;-109.396296
2270.507813;-110.505011
2285.15625;-110.089297
2299.804688;-109.289094
2314.453125;-109.732143
2329.101563;-109.688402
2343.75;-108.752369
2358.398438;-109.537435
2373.046875;-110.821943
2387.695313;-109.975058
2402.34375;-109.609283
2416.992188;-110.917418
2431.640625;-110.966157
2446.289063;-109.905236
2460.9375;-109.910774
2475.585938;-110.106862
2490.234375;-109.623707
2504.882813;-109.288958
