sep=;
Type;FSWP-50;
Version;3.00SP1;
Date;13.Sep 2023;
VSupply;OFF;
Mode;Voltage;
583,4451293945;-136,0747985840;
584,7900390625;-136,2044372559;
586,1380004883;-136,2682495117;
587,4894409180;-136,4884948730;
588,8436279297;-136,5775909424;
590,2009277344;-136,6740875244;
591,5617065430;-136,7725524902;
592,9253540039;-137,0799407959;
594,2920532227;-137,1265106201;
595,6622924805;-137,1466827393;
597,0353393555;-137,3929138184;
598,4114990234;-137,4972534180;
599,7912597656;-137,6877288818;
601,1738281250;-137,6877288818;
602,5595703125;-137,6877288818;
603,9484863281;-137,6877288818;
605,3409423828;-137,8483276367;
606,7363281250;-138,5498199463;
608,1348876953;-138,8602142334;
609,5369873047;-138,8602142334;
610,9420166016;-138,8602142334;
612,3502807617;-138,8602142334;
613,7621459961;-138,8602142334;
615,1769409180;-138,8602142334;
616,5949707031;-138,8602142334;
618,0162353516;-138,8602142334;
619,4411621094;-138,8602142334;
620,8690185547;-138,8602142334;
622,3001708984;-138,8602142334;
623,7349243164;-138,8602142334;
625,1726684570;-138,8602142334;
626,6137695313;-138,8602142334;
628,0584716797;-138,8602142334;
629,5062255859;-138,8602142334;
630,9572753906;-138,8602142334;
632,4120483398;-138,8602142334;
633,8697509766;-138,4524841309;
635,3308715820;-138,4524841309;
636,7953491211;-138,4524841309;
638,2636108398;-138,4524841309;
639,7348022461;-138,4524841309;
641,2094726563;-138,4524841309;
642,6878662109;-138,4524841309;
644,1693115234;-138,4524841309;
645,6541137695;-138,4524841309;
647,1427612305;-138,4524841309;
648,6344604492;-138,4524841309;
650,1296386719;-138,4524841309;
651,6282348633;-138,4524841309;
653,1306152344;-138,4524841309;
654,6361694336;-138,4524841309;
656,1451416016;-138,4524841309;
657,6579589844;-138,4524841309;
659,1738891602;-138,4524841309;
660,6933593750;-138,6702270508;
662,2166748047;-138,8706359863;
663,7431030273;-139,0619506836;
665,2730712891;-139,2330169678;
666,8065795898;-139,3779144287;
668,3439941406;-139,5315856934;
669,8845825195;-139,7151641846;
671,4287109375;-139,9042358398;
672,9767456055;-140,2895812988;
674,5280151367;-140,6748504639;
676,0828857422;-141,2911987305;
677,6416625977;-141,3571319580;
679,2036743164;-141,3585205078;
680,7692871094;-141,3681488037;
682,3388671875;-141,3921966553;
683,9116821289;-141,4166259766;
685,4881591797;-141,4413299561;
687,0682983398;-141,4667205811;
688,6524047852;-141,5006256104;
690,2398071289;-141,5416259766;
691,8308105469;-141,5659637451;
693,4259643555;-141,5659637451;
695,0243530273;-141,5659637451;
696,6264038086;-141,5659637451;
698,2325439453;-141,5659637451;
699,8420410156;-141,5659637451;
701,4552001953;-141,5659637451;
703,0721435547;-141,5659637451;
704,6931762695;-141,5659637451;
706,3175048828;-141,5416259766;
707,9456176758;-141,5006256104;
709,5778808594;-141,4667205811;
711,2135009766;-141,4413299561;
712,8529052734;-141,4166259766;
714,4964599609;-141,3921966553;
716,1434326172;-141,3681488037;
717,7941894531;-141,3585205078;
719,4491577148;-141,3571319580;
721,1075439453;-141,3571319580;
722,7697753906;-141,3571319580;
724,4357910156;-141,3571319580;
726,1060791016;-141,3571319580;
727,7797851563;-141,3571319580;
729,4573974609;-141,3571319580;
731,1392211914;-141,3921966553;
732,8245239258;-141,4413299561;
734,5137329102;-141,5006256104;
