sep=;
Type;FSWP-50;
Version;3.00SP1;
Date;13.Sep 2023;
VSupply;OFF;
Mode;Voltage;
468,8133850098;-128,4307403564;
469,8940429688;-128,4307403564;
470,9774169922;-128,4307403564;
472,0630798340;-128,4307403564;
473,1512145996;-128,4307403564;
474,2421264648;-128,4307403564;
475,3352661133;-128,4307403564;
476,4309692383;-128,4307403564;
477,5291748047;-128,4307403564;
478,6301574707;-128,4307403564;
479,7334289551;-128,4307403564;
480,8392639160;-128,4307403564;
481,9479064941;-128,4307403564;
483,0588073730;-128,2021942139;
484,1723022461;-127,9557342529;
485,2886352539;-127,6513366699;
486,4072570801;-127,2425537109;
487,5284423828;-126,8337783813;
488,6522521973;-126,8337783813;
489,7788696289;-126,8337783813;
490,9078674316;-126,8337783813;
492,0394287109;-126,8337783813;
493,1738891602;-126,8337783813;
494,3106994629;-126,8337783813;
495,4501037598;-126,8337783813;
496,5924377441;-126,8337783813;
497,7371215820;-126,8337783813;
498,8844299316;-126,8337783813;
500,0343933105;-126,8337783813;
501,1872863770;-126,8337783813;
502,3425598145;-126,8337783813;
503,5004882813;-126,8337783813;
504,6613769531;-126,8337783813;
505,8246459961;-126,8337783813;
506,9906311035;-126,8337783813;
508,1595458984;-126,8680191040;
509,3309020996;-126,9593582153;
510,5049438477;-127,0341339111;
511,6819763184;-127,1089248657;
512,8614501953;-127,1486511230;
514,0436401367;-127,1744537354;
515,2285156250;-127,2002487183;
516,4164428711;-127,4005889893;
517,6068115234;-127,6319656372;
518,7999267578;-127,8631744385;
519,9960937500;-127,9245758057;
521,1947021484;-127,9859619141;
522,3961181641;-128,0552520752;
523,6005859375;-128,1627197266;
524,8074951172;-128,2701416016;
526,0172119141;-128,3523101807;
527,2297363281;-128,3896942139;
528,4453125000;-128,4270782471;
529,6633911133;-128,4770202637;
530,8843383789;-128,5365142822;
532,1083374023;-128,5960083008;
533,3348999023;-128,6319427490;
534,5642700195;-128,6617126465;
535,7967529297;-128,6924133301;
537,0317993164;-128,7480926514;
538,2697143555;-128,8037872314;
539,5107421875;-128,8543853760;
540,7543945313;-128,8927917480;
542,0008544922;-128,9311981201;
543,2501831055;-129,0175018311;
544,5027465820;-129,1396026611;
545,7578735352;-129,2616882324;
547,0158691406;-129,3048553467;
548,2770385742;-129,3358917236;
549,5408935547;-129,3851013184;
550,8076171875;-129,5185546875;
552,0775756836;-129,6520538330;
553,3501586914;-129,7444000244;
554,6256713867;-129,7964630127;
555,9041137695;-129,8485260010;
557,1857910156;-130,0915985107;
558,4701538086;-130,3687133789;
559,7575073242;-130,6165313721;
561,0480957031;-130,6165313721;
562,3413085938;-130,6165313721;
563,6375732422;-130,6165313721;
564,9370727539;-130,6165313721;
566,2393188477;-130,6165313721;
567,5445556641;-130,6165313721;
568,8530883789;-130,6165313721;
570,1643066406;-130,6165313721;
571,4785766602;-130,6165313721;
572,7958984375;-130,6165313721;
574,1165161133;-130,6165313721;
575,4399414063;-130,6165313721;
576,7663574219;-130,6165313721;
578,0961303711;-130,6165313721;
579,4287109375;-130,6165313721;
580,7643432617;-130,6165313721;
582,1033325195;-130,6165313721;
583,4451293945;-130,6231536865;
584,7900390625;-130,6231536865;
586,1380004883;-130,6231536865;
587,4894409180;-130,6231536865;
588,8436279297;-130,6231536865;
590,2009277344;-130,6231536865;
591,5617065430;-130,6231536865;
592,9253540039;-130,6231536865;
594,2920532227;-130,6231536865;
595,6622924805;-130,6231536865;
597,0353393555;-130,6231536865;
598,4114990234;-130,6231536865;
599,7912597656;-130,6231536865;
601,1738281250;-130,6231536865;
602,5595703125;-130,6231536865;
603,9484863281;-130,6231536865;
605,3409423828;-130,6231536865;
606,7363281250;-130,6231536865;
608,1348876953;-130,8374633789;
609,5369873047;-131,0554962158;
610,9420166016;-131,2819671631;
612,3502807617;-131,5201568604;
613,7621459961;-131,7583618164;
615,1769409180;-131,8619995117;
616,5949707031;-131,8619995117;
618,0162353516;-131,8619995117;
619,4411621094;-131,8619995117;
620,8690185547;-131,8619995117;
622,3001708984;-131,8619995117;
623,7349243164;-131,8619995117;
625,1726684570;-131,8619995117;
626,6137695313;-131,8619995117;
628,0584716797;-131,8619995117;
629,5062255859;-131,8619995117;
630,9572753906;-131,8619995117;
632,4120483398;-131,8619995117;
633,8697509766;-131,8619995117;
635,3308715820;-131,8619995117;
636,7953491211;-131,8619995117;
638,2636108398;-131,8619995117;
639,7348022461;-131,8619995117;
641,2094726563;-131,8619995117;
642,6878662109;-131,8619995117;
644,1693115234;-131,8619995117;
645,6541137695;-131,8619995117;
647,1427612305;-131,8619995117;
648,6344604492;-131,8619995117;
650,1296386719;-131,8619995117;
651,6282348633;-131,8619995117;
653,1306152344;-131,8619995117;
654,6361694336;-131,8619995117;
656,1451416016;-131,8619995117;
657,6579589844;-131,8619995117;
659,1738891602;-131,8619995117;
660,6933593750;-131,8619995117;
662,2166748047;-131,8619995117;
663,7431030273;-131,8619995117;
665,2730712891;-131,8619995117;
666,8065795898;-131,9617156982;
668,3439941406;-132,1174774170;
669,8845825195;-132,3155517578;
671,4287109375;-132,5151062012;
672,9767456055;-132,7669525146;
674,5280151367;-132,7669525146;
676,0828857422;-132,7669525146;
677,6416625977;-132,7669525146;
679,2036743164;-132,7669525146;
680,7692871094;-132,8047790527;
682,3388671875;-132,8468780518;
683,9116821289;-132,9010314941;
685,4881591797;-132,9815368652;
687,0682983398;-133,0161285400;
688,6524047852;-133,0187377930;
690,2398071289;-133,1341247559;
691,8308105469;-133,2082366943;
693,4259643555;-133,2554016113;
695,0243530273;-133,3049774170;
696,6264038086;-133,3729858398;
698,2325439453;-133,4391326904;
699,8420410156;-133,4853363037;
701,4552001953;-133,5979003906;
703,0721435547;-133,5992736816;
704,6931762695;-133,7160186768;
706,3175048828;-133,7350158691;
707,9456176758;-133,7350158691;
709,5778808594;-133,7350158691;
711,2135009766;-133,7350158691;
712,8529052734;-133,7350158691;
714,4964599609;-133,7350158691;
716,1434326172;-133,7350158691;
717,7941894531;-133,7350158691;
719,4491577148;-133,7350158691;
721,1075439453;-133,7350158691;
722,7697753906;-133,8434906006;
724,4357910156;-133,9945068359;
726,1060791016;-134,0497589111;
727,7797851563;-134,0497589111;
729,4573974609;-134,0497589111;
731,1392211914;-134,0497589111;
732,8245239258;-134,0497589111;
734,5137329102;-134,0497589111;
736,2072753906;-134,0497589111;
737,9042968750;-134,0497589111;
739,6052246094;-134,0497589111;
741,3100585938;-134,0497589111;
743,0192260742;-134,0497589111;
744,7319335938;-134,0497589111;
746,4486083984;-134,0497589111;
748,1696166992;-134,0497589111;
749,8942260742;-134,0497589111;
751,6227416992;-134,0497589111;
753,3557128906;-134,0497589111;
755,0922851563;-134,0497589111;
756,8328247070;-133,8420562744;
758,5777587891;-133,7164611816;
760,3263549805;-133,7164611816;
762,0789794922;-133,7164611816;
763,8356323242;-133,7164611816;
765,5967407227;-133,7164611816;
767,3614501953;-133,7164611816;
769,1303100586;-133,7164611816;
770,9036254883;-133,7164611816;
772,6806030273;-133,7164611816;
774,4616699219;-133,7164611816;
776,2473144531;-133,7164611816;
778,0366210938;-133,7164611816;
779,8300170898;-133,7164611816;
781,6276245117;-133,7164611816;
783,4297485352;-133,7164611816;
785,2355957031;-133,7164611816;
787,0455932617;-133,7164611816;
788,8602294922;-133,7164611816;
790,6786499023;-133,9124145508;
792,5012207031;-133,9239044189;
794,3284301758;-133,9306793213;
796,1593627930;-133,9586181641;
797,9945678711;-133,9723510742;
799,8344726563;-134,0210418701;
801,6781616211;-134,0368652344;
803,5260620117;-134,0445556641;
