sep=;
Type;FSWP-50;
Version;3.00SP1;
Date;13.Sep 2023;
VSupply;OFF;
Mode;Voltage;
463,4468078613;-131,2106781006;
464,5153198242;-131,4590606689;
465,5860900879;-131,4590606689;
466,6592712402;-131,4590606689;
467,7352294922;-131,4590606689;
468,8133850098;-131,4590606689;
469,8940429688;-131,4590606689;
470,9774169922;-131,4590606689;
472,0630798340;-131,4590606689;
473,1512145996;-131,4590606689;
474,2421264648;-131,4590606689;
475,3352661133;-131,4590606689;
476,4309692383;-131,4590606689;
477,5291748047;-131,4590606689;
478,6301574707;-131,4590606689;
479,7334289551;-131,4590606689;
480,8392639160;-131,4590606689;
481,9479064941;-131,4590606689;
483,0588073730;-131,4590606689;
484,1723022461;-131,4396667480;
485,2886352539;-131,3772125244;
486,4072570801;-131,2370452881;
487,5284423828;-131,0968780518;
488,6522521973;-130,9154357910;
489,7788696289;-130,6796875000;
490,9078674316;-130,6796875000;
492,0394287109;-130,6796875000;
493,1738891602;-130,6500701904;
494,3106994629;-130,6279907227;
495,4501037598;-130,5452270508;
496,5924377441;-130,3847656250;
497,7371215820;-130,3268280029;
498,8844299316;-130,3161010742;
500,0343933105;-130,1299285889;
501,1872863770;-130,0870208740;
502,3425598145;-130,0256652832;
503,5004882813;-129,8968505859;
504,6613769531;-129,8753051758;
505,8246459961;-129,6813507080;
506,9906311035;-129,6638336182;
508,1595458984;-129,4874420166;
509,3309020996;-129,4767913818;
510,5049438477;-129,4019775391;
511,6819763184;-129,3791046143;
512,8614501953;-129,3684539795;
514,0436401367;-129,3061218262;
515,2285156250;-129,2814636230;
516,4164428711;-129,2438201904;
517,6068115234;-128,7210235596;
518,7999267578;-128,0399475098;
519,9960937500;-127,2232360840;
521,1947021484;-126,4067306519;
522,3961181641;-125,6059112549;
523,6005859375;-124,8808822632;
524,8074951172;-124,8808822632;
526,0172119141;-124,8808822632;
527,2297363281;-124,8808822632;
528,4453125000;-124,8808822632;
529,6633911133;-124,8808822632;
530,8843383789;-124,8808822632;
532,1083374023;-124,8808822632;
533,3348999023;-124,8808822632;
534,5642700195;-124,8808822632;
535,7967529297;-124,8808822632;
537,0317993164;-124,8808822632;
538,2697143555;-124,8808822632;
539,5107421875;-124,8808822632;
540,7543945313;-124,8808822632;
542,0008544922;-124,8808822632;
543,2501831055;-124,8808822632;
544,5027465820;-124,8808822632;
545,7578735352;-125,2436218262;
547,0158691406;-126,1892013550;
548,2770385742;-127,1640167236;
549,5408935547;-128,1467132568;
550,8076171875;-129,1664733887;
552,0775756836;-130,1864929199;
553,3501586914;-131,0994873047;
554,6256713867;-131,9078063965;
555,9041137695;-132,7161407471;
557,1857910156;-133,3557586670;
558,4701538086;-133,9651031494;
559,7575073242;-134,5546112061;
561,0480957031;-135,0687103271;
562,3413085938;-135,5826721191;
563,6375732422;-136,0201263428;
564,9370727539;-136,4032287598;
566,2393188477;-136,4032287598;
567,5445556641;-136,4032287598;
568,8530883789;-136,4032287598;
570,1643066406;-136,4032287598;
571,4785766602;-136,4032287598;
572,7958984375;-136,4032287598;
574,1165161133;-136,4032287598;
575,4399414063;-136,4032287598;
576,7663574219;-136,4032287598;
578,0961303711;-136,4032287598;
579,4287109375;-136,4032287598;
580,7643432617;-136,4032287598;
582,1033325195;-136,4032287598;
583,4451293945;-136,7839660645;
584,7900390625;-136,7862701416;
586,1380004883;-136,8195495605;
587,4894409180;-137,0203399658;
588,8436279297;-137,2508087158;
590,2009277344;-137,3533172607;
591,5617065430;-137,4487304688;
592,9253540039;-137,5213012695;
594,2920532227;-137,5944213867;
595,6622924805;-137,7401123047;
597,0353393555;-137,8303527832;
598,4114990234;-137,8303527832;
599,7912597656;-137,8303527832;
601,1738281250;-137,8303527832;
602,5595703125;-137,8303527832;
603,9484863281;-137,8303527832;
605,3409423828;-137,8303527832;
606,7363281250;-137,8303527832;
608,1348876953;-137,8303527832;
609,5369873047;-138,2309722900;
610,9420166016;-138,4760894775;
612,3502807617;-138,4935607910;
613,7621459961;-138,5743103027;
615,1769409180;-138,6892852783;
616,5949707031;-138,7005615234;
618,0162353516;-138,8006439209;
619,4411621094;-138,8041229248;
620,8690185547;-138,9075775146;
622,3001708984;-138,9226989746;
623,7349243164;-138,9360961914;
625,1726684570;-139,0764617920;
626,6137695313;-139,1415252686;
628,0584716797;-139,2854614258;
629,5062255859;-139,4287872314;
630,9572753906;-139,4475250244;
632,4120483398;-139,6787261963;
633,8697509766;-140,0718994141;
635,3308715820;-140,0718994141;
636,7953491211;-140,0718994141;
638,2636108398;-140,0718994141;
639,7348022461;-140,0785675049;
641,2094726563;-140,0910491943;
642,6878662109;-140,1084899902;
644,1693115234;-140,1829376221;
645,6541137695;-140,3525695801;
647,1427612305;-140,4053802490;
648,6344604492;-140,5712432861;
650,1296386719;-140,7649230957;
651,6282348633;-140,7649230957;
653,1306152344;-140,7649230957;
654,6361694336;-140,7649230957;
656,1451416016;-140,6689300537;
657,6579589844;-140,6689300537;
659,1738891602;-140,6689300537;
660,6933593750;-140,6689300537;
662,2166748047;-140,6689300537;
663,7431030273;-140,6689300537;
665,2730712891;-140,6689300537;
666,8065795898;-140,6689300537;
668,3439941406;-140,6689300537;
669,8845825195;-140,6689300537;
