Trace
Log Plot
A.29.04,N9000B
24359.4044729203,-92.7531748206593
25022.6518434708,-93.2029486006033
25703.9578276886,-92.5970206428145
26403.8141177268,-88.1677764925352
27122.7257933203,-92.1833425876252
27861.2116862977,-92.2158770961719
28619.8047550171,-93.8202833387285
29399.0524689969,-93.2122044760495
30199.5172040202,-93.2531291438253
31021.776647995,-91.5918049300563
31866.4242178673,-91.6286298441935
32734.0694878838,-92.2147081361711
33625.3386295162,-91.2105530693933
34540.8748633635,-89.4410455144047
35481.3389233576,-93.436478687516
36447.4095336095,-93.6208213908744
37439.7838982381,-94.697067076864
38459.1782045354,-90.1505185371355
39506.3281398323,-91.3018166283532
40581.989422438,-91.5747220334077
41686.9383470336,-94.2386635619678
42821.9723449175,-92.1505255330259
43987.9105595043,-92.0144316863737
45185.5944374923,-93.5417756435019
46415.8883361278,-94.9826382897324
47679.6801470042,-91.358983616882
48977.8819368446,-92.2097554188509
50311.4306057317,-92.6712739450136
51681.2885632604,-90.8860318851887
53088.4444230989,-87.3478024782621
54533.9137164627,-91.1368881023104
56018.7396250141,-91.4724745832818
57543.9937337157,-91.0219434903065
59110.776804184,-93.9499644254025
60720.2195690989,-95.0585410599649
62373.483548242,-92.0078691735126
64071.7618867554,-91.9551858054487
65816.2802162232,-93.216458031125
67608.2975391981,-93.0327928411536
69449.1071378121,-92.4980939190936
71340.0375071256,-93.7300751593559
73282.4533138903,-93.1479819598147
75277.7563814166,-92.7996543426681
77327.3867012556,-93.0037353835156
79432.8234724281,-92.3407171548479
81595.5861689489,-91.6077243074896
83817.2356364163,-92.5611781385259
86099.37521846,-93.2549716203171
88443.65191386,-91.4614917417239
90851.7575651687,-92.1839424722516
93325.4300796991,-92.4405372761454
95866.4546837558,-91.3140880352421
98476.6652110159,-91.0382078960512
101157.94542599,-91.640146908541
103912.230383517,-92.9224433943133
106741.507825276,-93.5525354839787
109647.819614318,-90.1502008814779
112633.263208666,-89.8436343964572
115699.993175021,-91.3496557029566
118850.222743702,-90.4153536148821
122086.225405907,-91.1626313949183
125410.336554475,-92.5404471808268
128824.955169313,-89.7446851606649
132332.545548722,-89.3654180269034
135935.639087852,-90.036284158869
139636.836105594,-90.7720619561236
143438.807721197,-90.1598418700548
147344.297781996,-89.7038878914013
151356.124843621,-91.4392046236131
155477.184204117,-90.2791231236879
159710.44999346,-89.4762355399952
164058.977319954,-88.3628405529316
168525.904475075,-88.7191755358726
173114.455198349,-88.3220472731242
177827.941003892,-88.8798659961447
182669.7635703,-88.3822382087025
187643.417195608,-87.5966183734257
192752.491319094,-89.5610433532204
198000.673111739,-87.7419230179046
203391.750137229,-87.9995078290243
